"","PAU89988T_6h","PAU89988T_24h","PATU8902_6h","PATU8902_24h","AveExpr","F","P.Value","adj.P.Val"
"BICC1",-0.1081261100191,-0.0497445296803655,0.209190398830967,0.477098339293308,1.48766849118734,2.14092864146983,0.123134865483522,0.382023782108184
"EXOSC2",0.024138770265405,-0.0503337764134866,0.0404618365336535,-0.19293859461987,6.40374098579317,2.14080932796249,0.12315067682309,0.382023782108184
"PAF1",0.152289177753834,0.116384207633235,-0.0470115090276675,-0.242417175014904,7.32541181689662,2.14069678518039,0.123165592915981,0.382023782108184
"PCLO",0.0692341718358529,0.27179716907317,0.119704572761398,0.370433577925855,1.94097078625465,2.14062210132469,0.123175492371427,0.382023782108184
"PIGW",-0.0755410719437863,-0.0798144431784706,-0.119947098557404,0.260647489624937,5.80691196910603,2.14008348679619,0.123246911914832,0.382084621266885
"RBL1",0.0659457464540116,0.063123918001792,-0.0862084271979899,0.188818114781267,5.30862179383398,2.14002750958777,0.123254336974544,0.382084621266885
"FN3KRP",-0.0147855852909915,-0.0432269722180632,0.163614730911824,-0.112077774968125,5.28716615915245,2.13949880699128,0.123324490158449,0.382084621266885
"SCAMP5",-0.237254281993037,-0.117333581135486,0.216699451635736,0.18222975623782,2.68160415087177,2.13940144608446,0.12333741360023,0.382084621266885
"ELMOD2",0.181235046534663,0.106813831982298,0.0470127586470177,0.540198243579253,3.62249890397222,2.13924255871217,0.123358507043923,0.382084621266885
"GMPR2",-0.186313689835505,-0.183834996516561,0.0416169606695203,-0.133519939896614,5.2271372263451,2.13898108050145,0.123393228622494,0.382084621266885
"DDB1",-0.152285970965775,-0.167789823295263,-0.00281277897359011,-0.20680195066576,8.08239356322199,2.13896872851124,0.123394869098365,0.382084621266885
"SYDE2",0.316473649312854,0.387241344788625,-0.0838802207237457,0.300798794101609,2.83102155135291,2.13847914828576,0.123459909493907,0.382197625020561
"LIMD1-AS1",-0.16801896779589,-0.658274133127368,-0.195704145047465,1.13758973600798,2.43756284474216,2.13654815361944,0.123716801157693,0.382901361922459
"MXD4",0.17666584816403,0.243412128112952,0.00354877967513811,-0.181528043522562,3.06606138773379,2.13630633569273,0.123749012180597,0.382901361922459
"CEACAM1",-0.105508613415255,0.224366881449918,0.338113327414258,0.371415387718786,1.93188318507941,2.13603186390039,0.123785583763893,0.382901361922459
"VPS13B",0.174865703172846,0.109058401856587,0.0844738939896374,0.376919674507816,3.96892911423446,2.13581629595996,0.123814314954757,0.382901361922459
"ANKRD46",0.118313687761085,0.104598140748712,0.0734415719008688,0.45304334825943,3.47984969233079,2.13550156683655,0.123856275385637,0.382901361922459
"ANXA2R",-0.3427805991185,-0.552288848105541,0.213627678604125,0.470965805212119,1.4199248621981,2.13548245214401,0.123858824295031,0.382901361922459
"RBM14-RBM4",0.617199590353099,-0.382236505859035,-0.0646824993919628,-0.142360102344322,4.28744131670208,2.13488731193829,0.123938213431614,0.383042376906874
"GREB1L",0.193032663335471,0.230003244763802,0.208746354439292,0.0706504102109533,3.0466197668276,2.13471164950011,0.123961656519343,0.383042376906874
"STXBP3",-0.0615952407541949,0.123446644540842,-0.0914992301194761,0.310710326232207,4.771052535637,2.13439383755728,0.124004082354918,0.383085061986616
"SAMD10",0.097707335738785,-0.103796828378347,0.375589001835074,0.0476572646294486,2.2394084064007,2.13392918843594,0.124066138155418,0.383149090651306
"CXCL16",0.241372111149561,0.114845730977425,0.118521989512391,-0.207965206372076,3.81364530630551,2.13381014891215,0.124082041755475,0.383149090651306
"NCOA6",0.204185818945038,0.211634515651025,-0.0197188225487706,-0.0941461782303525,5.14128519843387,2.13348921747583,0.124124928920504,0.383193145795856
"ATP6V0A2",0.0897743956546195,0.215305476048557,-0.0132695748065128,0.0523989462367118,3.77662233753356,2.13272162613067,0.124227569553846,0.383319731968636
"WDR61",-0.0782496733955922,-0.152345148723424,0.236041872702003,0.0325809050884933,6.01279325704409,2.13263786259015,0.124238775762306,0.383319731968636
"CHST11",0.189697821931488,0.0989383674286328,0.125131376684678,0.112462176463845,3.46277643152521,2.13254036002681,0.12425182140144,0.383319731968636
"CHMP6",0.0235660951266357,-0.215821826938763,0.142203796596371,-0.227223506632097,3.26369413546384,2.13223802592087,0.124292282454416,0.383354930030858
"ZNF701",0.0319855319747862,0.134159153168117,0.0769598573668153,0.541988972306247,2.14139538257849,2.13202727890313,0.124320494898348,0.383354930030858
"FAM127B",0.149636093250805,0.302903494072292,0.0774974532347477,-0.29461653222435,4.66896225114745,2.13163040645434,0.124373642451224,0.3834305085838
"SLC50A1",-0.0674936328588069,-0.035395999688717,0.213591045428401,-0.149876906302595,5.29517922461916,2.13119464234345,0.124432026406069,0.383522191885557
"RBM19",0.140141951191824,0.0531379642591254,0.0394195318054562,-0.157284804119054,4.58579833556788,2.13091483327085,0.124469530966924,0.383526114263622
"PPP1CA",-0.0904585216276317,-0.102476085079662,0.0448325874934152,-0.300854288697826,8.26174298776723,2.13075776805048,0.124490588736254,0.383526114263622
"ZDHHC21",0.28491376597558,0.163719799741278,0.0262103804542497,0.422274881759664,3.39964971012748,2.13049397996347,0.124525963498185,0.383537319983209
"CETN2",0.21835912218562,0.153272716494742,0.0938660968978429,0.129622763057197,7.1301856502766,2.13023937023145,0.12456011768341,0.383537319983209
"HINFP",-0.231887093651468,-0.226297456634032,-0.0492367771218234,-0.133478485865243,4.37249535134788,2.13008997188789,0.124580163164312,0.383537319983209
"LETMD1",-0.265238240328091,-0.111835669282711,0.0249173772180988,-0.09402497696703,4.38940247704482,2.12981648911319,0.124616866640657,0.383562121253279
"CCDC94",0.145822163999608,0.0853869013860082,0.128326297023171,-0.148603440882897,3.93778977532837,2.1291945587938,0.124700377800935,0.383659512936576
"PRPF4B",0.222930884105863,0.0758497289498727,-0.00110163108257488,0.131528026108698,5.73748354396544,2.1291540579928,0.124705818231382,0.383659512936576
"MSN",0.0400740398806132,0.00406997681622734,-0.0808109053705897,-0.232408401475728,8.46452684354308,2.12863378108508,0.124775729224741,0.383712163587097
"OTUD6B-AS1",0.222124414689458,0.13543963619348,-0.131014497461259,0.221640653197651,5.50196259079346,2.1286001522134,0.124780249477797,0.383712163587097
"LOC100507424",-0.578432184944453,-0.909113418002997,-0.328998586058571,0.581812866066088,2.14961993631387,2.12802041587408,0.124858202956653,0.383787884916092
"TMED1",-0.334515371753719,-0.103462291244579,0.24491572757346,-0.0329523554249391,4.48581045925803,2.12793562669628,0.124869608416507,0.383787884916092
"EPC2",0.0095537289222225,0.109794363542743,-0.116891213224807,0.0838951919808837,5.16956129751605,2.12750653326309,0.124927345349139,0.383787884916092
"PRIM1",0.0671192034867936,-0.0330994675859415,-0.086508460273822,0.182651181405286,7.08063426983433,2.12735678230649,0.124947501948617,0.383787884916092
"AEBP2",0.0446010971490347,0.0216813772811095,-0.0491868352206559,0.278981444909721,5.69717093035016,2.12719110075464,0.124969806899999,0.383787884916092
"SPTLC1",0.0674419997431626,0.0136639991074308,-0.0107531373316254,0.164354454336232,7.176285818486,2.12713871700629,0.124976859977158,0.383787884916092
"CDK1",-0.0982948925460088,-0.0424387086869196,-0.113148357732191,0.0972799041532575,8.03118092686704,2.12676140240003,0.125027675212211,0.383855891634095
"FAM217B",0.0553762933271282,0.196729315539885,-0.114722807674647,0.11426943455024,4.60793302182,2.12635409617199,0.125082554573112,0.383871989862467
"PARN",0.13938901977013,0.131917268238722,-0.00964532097057891,0.097780285057123,5.82686224553263,2.12629692272902,0.125090260047049,0.383871989862467
"PRPF4",-0.0544202828278371,-0.0603450363395472,0.0307293074769159,-0.13488771062664,6.83830326629985,2.12575738187509,0.125163001117507,0.38387395091074
"TARS2",-0.059351159603934,0.0105503986346198,0.0300594641999385,-0.23321583467408,4.03905458038713,2.12537179109382,0.125215014496987,0.38387395091074
"LOC344967",-0.295539717350128,-0.141099276320997,0.320546114707128,0.393027344394292,1.1421510971999,2.1253534242172,0.125217492635121,0.38387395091074
"UBE2V1",0.135721345331817,0.0144652706433011,-0.0941861665835315,-0.110738011672879,8.20021044833228,2.12528553451608,0.125226653064503,0.38387395091074
"TMOD3",0.136074922757157,0.10870102527463,-0.0550992793767078,0.0651867465605838,7.6832274257609,2.12511276889772,0.125249967767462,0.38387395091074
"R3HCC1L",0.0854105391536106,0.225565345385038,-0.0254411025801309,0.0143283847658457,3.92199864115167,2.12477767286813,0.125295202268895,0.38387395091074
"SRD5A1",-0.0770838866128765,-0.0293165410479777,0.12312527622211,0.327337898580371,4.76473766888753,2.12427779263411,0.125362713630842,0.38387395091074
"SRCAP",0.127780674160381,0.0726509210697017,0.043399852128819,-0.235907325043464,5.04858637519717,2.12411381521817,0.125384868143522,0.38387395091074
"ALKBH4",-0.111087610304675,0.101532902921558,0.293788772764041,0.170574274486549,2.69431513748753,2.1240949235184,0.125387420817043,0.38387395091074
"APBB2",0.250572399415263,0.293002896342505,-0.0230258878376315,0.0810000191953577,3.87046763353199,2.12403826202139,0.125395077335245,0.38387395091074
"GABPA",0.0506783245524307,0.0237967613716554,-0.159804405793993,0.284361011949268,4.18946753440995,2.12395537619863,0.125406278384015,0.38387395091074
"NUDT12",0.112729305357275,0.0675382370144044,0.0591664349101739,0.42972043984762,3.91733641459105,2.12320565242504,0.125507643732773,0.38389659050072
"STK38",0.124894500733591,0.155384429178994,0.00280898471814695,0.0808403235460249,5.4790150263386,2.12312091357237,0.125519106277929,0.38389659050072
"NOL3",-0.118696594382057,0.131922957366869,0.17748800560042,0.0822540485966932,4.06889428265174,2.12305505208917,0.125528016077478,0.38389659050072
"APMAP",-0.116757479557601,-0.176537148618341,0.0282785437355271,-0.19709422153243,6.83034686643312,2.12296243738251,0.125540546228739,0.38389659050072
"MB21D1",0.000196153450204406,0.119395166103771,-0.10094380136671,0.238032755645416,5.40293475175617,2.12284056274504,0.125557037105284,0.38389659050072
"AP5M1",0.148690893487484,0.158199465241275,-0.127605054470418,0.32475474148757,4.47084471702994,2.12249978549497,0.125603160108319,0.383936676298732
"RPLP0",-0.339604493904178,-0.294612295243464,0.0284579257968591,-0.25786674929393,10.5475100039684,2.12205249995268,0.125663726321123,0.383936676298732
"SNORA57",1.56264944653269,0.195263759834546,-1.59609578348427,-3.58727022131541,1.85967005886333,2.12189697048946,0.125684793681461,0.383936676298732
"CLEC7A",-0.185507489214312,0.41277809893275,0.356494179436367,0.412323836209607,0.701364398043906,2.12189655720021,0.125684849668933,0.383936676298732
"SSFA2",-0.00501646383137011,-0.10584006045994,-0.0481752868366163,0.121654918719346,6.78951920053898,2.12147164202969,0.125742426288298,0.383996580634005
"SAP30BP",0.0216461157539873,0.0307684807739506,0.077832228351574,-0.180610314709382,5.7780921724933,2.12104392325693,0.125800411478903,0.383996580634005
"SASH1",0.198255312988557,0.192595084645056,0.0128455504542453,0.0503995283020746,4.1870675289212,2.12101138264135,0.125804824139426,0.383996580634005
"LINC00662",-0.175883731638631,0.00390707029807547,0.359401632076238,0.403572350035806,1.76276728561098,2.1204593795348,0.125879703751035,0.383996580634005
"PRKAB2",0.0819792824347592,0.112855909132806,0.0534365226582119,0.380951213081628,3.1427425732711,2.12036692691099,0.125892249705143,0.383996580634005
"BRD3",-0.0840233999804241,0.10674900605837,-0.00829216512487552,0.027967448204838,4.65683022806883,2.12035690441097,0.125893609853692,0.383996580634005
"YBX1",0.195266026682123,0.101873485087062,-0.0538003845283068,-0.263447822349603,10.4979050975735,2.12005220764956,0.125934967653441,0.383996580634005
"CLDN7",-0.215372427768588,-0.242808466778018,0.394368570507685,0.437611488446262,3.47603165721256,2.12003547722733,0.125937238969056,0.383996580634005
"BMS1P20",0.287304361659917,0.0532795198639739,0.00226233299995027,-0.255967999140855,4.28291299315334,2.11984883901953,0.125962579889801,0.383996580634005
"ZFAND1",0.0946356537720652,0.085618262137455,-0.200315441349559,-0.0461524579102974,7.47160160197403,2.11956303745911,0.126001395416899,0.384016624476509
"LRFN4",-0.0320140828514166,-0.0833059495942905,0.426656024790008,-0.025742520808504,3.41888276826118,2.11898429559288,0.126080035446699,0.384016624476509
"EXOSC6",0.120134219995596,0.000841902538001982,0.0626452394916504,-0.248270047499275,5.03670775962073,2.11877593872459,0.126108360121975,0.384016624476509
"SATB1-AS1",-0.369310847502069,0.178702396884505,0.343725416446173,0.399584412592685,0.710885344670364,2.11847869979746,0.126148779555404,0.384016624476509
"KIFC3",-0.000255517079271961,-0.0761720266084902,0.200374283311424,-0.154158694612886,4.86178920273699,2.11840926721576,0.126158223213498,0.384016624476509
"CHD2",0.181011407089145,0.19403154153422,-0.0187157334790387,-0.0289184996760268,4.90828469166189,2.11831288556208,0.126171333527783,0.384016624476509
"TBC1D2B",-0.160945870791971,-0.0202994815931721,0.143313202113855,0.0491686264777478,3.25966019644637,2.11799990458982,0.126213916878735,0.384016624476509
"RAB5C",0.04385429487927,-0.0770499847104311,0.0731340485678622,-0.196797851482907,7.23558684317647,2.11798943021784,0.126215342261183,0.384016624476509
"AGAP1",0.151217244976935,0.130264616142764,0.0381913424938549,-0.0547074836701062,4.56300698435481,2.11772435787883,0.126251419830433,0.384016624476509
"SUGT1P1",-0.209513286701614,-0.40867784578247,0.00807251791794861,0.398434067332308,1.035011352377,2.11769093301649,0.126255969896601,0.384016624476509
"PYCRL",-0.22944977361079,-0.184525293902896,0.242994452244154,-0.0424328005749777,3.25454517520547,2.11679518527049,0.12637797219285,0.384300401928247
"PRDM10",0.0627096807503382,0.170309018612427,0.0742847906304167,0.246899306630962,3.33692231178625,2.11657560235915,0.126407899104286,0.384304123775496
"CSTF2",-0.115708056608993,-0.132788488038185,0.121642484208078,-0.0624796754995494,5.35478021544762,2.11619632421996,0.126459608814926,0.384320357533164
